日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-08-15,688638,37.62,37.91,38.29,37.38,718,1940291.0,2.4,-0.05,-0.02,0.42
2024-08-16,688638,37.84,37.73,37.93,37.44,922,2472719.0,1.29,-0.47,-0.18,0.53
2024-08-19,688638,37.65,37.31,38.16,37.28,724,1940200.0,2.33,-1.11,-0.42,0.42
2024-08-20,688638,37.25,37.16,37.55,36.82,871,2299096.0,1.96,-0.4,-0.15,0.5
2024-08-21,688638,37.18,37.13,37.41,36.93,487,1288273.0,1.29,-0.08,-0.03,0.28
2024-08-22,688638,37.32,36.83,37.32,36.72,467,1227378.0,1.62,-0.81,-0.3,0.27
2024-08-23,688638,36.68,35.85,36.68,35.85,1298,3338453.0,2.25,-2.66,-0.98,0.75
2024-08-26,688638,35.84,35.92,36.69,35.53,1374,3535330.0,3.24,0.2,0.07,0.8
2024-08-27,688638,35.17,35.45,35.94,35.17,907,2286959.0,2.14,-1.31,-0.47,0.53
2024-08-28,688638,35.17,35.63,35.97,35.17,1231,3110316.0,2.26,0.51,0.18,0.71
2024-08-29,688638,33.88,32.89,34.4,32.34,6957,16353818.0,5.78,-7.69,-2.74,4.03
2024-08-30,688638,32.35,33.03,33.42,32.35,2961,6972439.0,3.25,0.43,0.14,1.72
2024-09-02,688638,32.96,32.51,33.81,32.49,2196,5187605.0,4.0,-1.57,-0.52,1.27
2024-09-03,688638,33.01,32.87,33.38,32.52,1325,3107417.0,2.65,1.11,0.36,0.77
2024-09-04,688638,32.76,32.72,33.01,32.55,945,2201999.0,1.4,-0.46,-0.15,0.55
2024-09-05,688638,33.14,32.89,33.14,32.49,1012,2363258.0,1.99,0.52,0.17,0.59
2024-09-06,688638,33.74,32.89,34.43,32.76,2438,5818059.0,5.08,0.0,0.0,1.41
2024-09-09,688638,32.87,31.93,32.87,31.64,2057,4670874.0,3.74,-2.92,-0.96,1.19
2024-09-10,688638,32.26,31.67,32.34,31.12,2056,4633890.0,3.82,-0.81,-0.26,1.19
2024-09-11,688638,31.39,31.37,31.84,31.28,2015,4504242.0,1.77,-0.95,-0.3,1.17
2024-09-12,688638,31.09,31.4,31.84,31.09,1464,3291692.0,2.39,0.1,0.03,0.85
2024-09-13,688638,31.6,30.42,31.61,30.32,1910,4183187.0,4.11,-3.12,-0.98,1.11
2024-09-18,688638,30.28,29.85,30.35,29.15,2142,4525761.0,3.94,-1.87,-0.57,1.24
2024-09-19,688638,29.99,30.38,30.79,29.85,1761,3799373.0,3.15,1.78,0.53,1.02
2024-09-20,688638,30.37,29.82,30.49,29.69,1443,3076795.0,2.63,-1.84,-0.56,0.84
2024-09-23,688638,30.1,29.72,30.14,29.64,1390,2949322.0,1.68,-0.34,-0.1,0.81
2024-09-24,688638,29.96,30.95,31.19,29.95,2641,5741604.0,4.17,4.14,1.23,1.53
2024-09-25,688638,31.26,31.65,32.59,31.01,3701,8389315.0,5.11,2.26,0.7,2.14
2024-09-26,688638,31.81,32.34,32.34,31.36,3141,7147546.0,3.1,2.18,0.69,1.82
2024-09-27,688638,32.62,33.87,33.87,32.51,2576,6081172.0,4.21,4.73,1.53,1.49
2024-09-30,688638,34.72,38.36,38.61,34.72,10704,28093504.0,11.49,13.26,4.49,6.2
2024-10-08,688638,44.65,43.23,44.94,40.18,12837,39212751.0,12.41,12.7,4.87,7.44
2024-10-09,688638,41.41,38.46,41.41,38.19,9137,26197987.0,7.45,-11.03,-4.77,5.29
2024-10-10,688638,39.07,38.63,39.61,37.27,5613,15377122.0,6.08,0.44,0.17,3.25
2024-10-11,688638,38.78,37.32,38.78,37.1,3240,8692257.0,4.35,-3.39,-1.31,1.88
2024-10-14,688638,37.3,38.64,38.68,36.97,2752,7463711.0,4.58,3.54,1.32,1.59
2024-10-15,688638,38.54,37.48,39.21,37.39,2613,7094606.0,4.71,-3.0,-1.16,1.51
2024-10-16,688638,37.23,37.52,38.05,37.1,1787,4769353.0,2.53,0.11,0.04,1.04
2024-10-17,688638,38.98,36.6,38.98,36.58,2121,5639326.0,6.4,-2.45,-0.92,1.23
2024-10-18,688638,38.43,37.58,38.43,36.74,5373,14421142.0,4.62,2.68,0.98,3.11
2024-10-21,688638,37.8,38.28,39.17,37.65,6177,16832366.0,4.04,1.86,0.7,3.58
2024-10-22,688638,38.12,38.33,38.89,37.81,4626,12587887.0,2.82,0.13,0.05,2.68
2024-10-23,688638,37.91,38.6,38.89,37.91,4190,11501971.0,2.56,0.7,0.27,2.43
2024-10-24,688638,38.81,38.3,39.21,37.94,3236,8802901.0,3.29,-0.78,-0.3,1.87
2024-10-25,688638,38.95,40.45,40.68,38.79,8581,24478153.0,4.93,5.61,2.15,4.97
2024-10-28,688638,39.76,40.39,41.64,39.76,7774,22195890.0,4.65,-0.15,-0.06,4.5
2024-10-29,688638,40.33,39.06,40.87,38.79,5206,14639167.0,5.15,-3.29,-1.33,3.02
2024-10-30,688638,38.78,39.52,39.86,38.54,3647,10156629.0,3.38,1.18,0.46,2.11
2024-10-31,688638,39.2,39.41,39.52,38.57,5601,15531426.0,2.4,-0.28,-0.11,3.25
2024-11-01,688638,39.41,37.66,39.41,37.59,4655,12707445.0,4.62,-4.44,-1.75,2.7
2024-11-04,688638,37.66,38.78,38.96,37.46,3449,9441234.0,3.98,2.97,1.12,2.0
2024-11-05,688638,38.75,39.8,39.9,38.36,5619,15734732.0,3.97,2.63,1.02,3.26
2024-11-06,688638,40.11,40.15,41.05,39.76,7422,21306485.0,3.24,0.88,0.35,4.3
2024-11-07,688638,40.15,40.71,40.73,39.76,5281,15221000.0,2.42,1.39,0.56,3.06
2024-11-08,688638,40.74,43.26,44.66,40.74,14745,44895313.0,9.63,6.26,2.55,8.54
2024-11-11,688638,42.7,45.99,46.06,41.9,15651,49156448.0,9.62,6.31,2.73,9.07
2024-11-12,688638,46.34,45.63,49.42,44.67,21649,73017680.0,10.33,-0.78,-0.36,12.54
2024-11-13,688638,44.66,46.58,47.14,44.34,11057,36065151.0,6.14,2.08,0.95,6.41
2024-11-14,688638,47.21,44.03,48.9,43.78,11880,39044906.0,10.99,-5.47,-2.55,6.88
2024-11-15,688638,43.82,42.92,45.22,42.25,7661,23742181.0,6.75,-2.52,-1.11,4.44
2024-11-18,688638,42.85,40.7,42.95,40.54,6680,19769944.0,5.62,-5.17,-2.22,3.87
2024-11-19,688638,40.18,41.89,41.97,40.11,5348,15556806.0,4.57,2.92,1.19,3.1
2024-11-20,688638,41.86,42.7,43.12,41.52,4374,13176567.0,3.82,1.93,0.81,2.53
2024-11-21,688638,42.78,42.67,43.2,41.75,3793,11457142.0,3.4,-0.07,-0.03,2.2
2024-11-22,688638,42.78,41.16,42.78,40.87,4193,12430892.0,4.48,-3.54,-1.51,2.43
2024-11-25,688638,40.87,42.14,42.55,40.87,4169,12407947.0,4.08,2.38,0.98,2.42
2024-11-26,688638,42.7,41.23,42.7,40.96,2803,8278944.0,4.13,-2.16,-0.91,1.62
2024-11-27,688638,41.52,42.21,42.28,39.91,3571,10437511.0,5.75,2.38,0.98,2.07
2024-11-28,688638,42.35,42.04,42.83,42.03,2410,7278411.0,1.9,-0.4,-0.17,1.4
2024-11-29,688638,41.96,43.37,43.55,41.72,5277,16095447.0,4.35,3.16,1.33,3.06
2024-12-02,688638,43.36,43.3,43.54,42.84,4185,12868800.0,1.61,-0.16,-0.07,2.42
2024-12-03,688638,43.54,42.99,43.65,42.48,2016,6171771.0,2.7,-0.72,-0.31,1.17
2024-12-04,688638,43.54,42.17,43.57,41.83,2664,8070001.0,4.05,-1.91,-0.82,1.54
2024-12-05,688638,42.15,43.13,43.67,42.14,3282,10060818.0,3.63,2.28,0.96,1.9
2024-12-06,688638,43.4,44.11,44.9,42.42,5173,16130436.0,5.75,2.27,0.98,3.0
2024-12-09,688638,44.18,44.03,45.47,43.51,4595,14516496.0,4.44,-0.18,-0.08,2.66
2024-12-10,688638,45.29,44.38,45.65,43.88,6780,21648012.0,4.02,0.79,0.35,3.93
2024-12-11,688638,43.93,43.86,44.72,43.55,2978,9316958.0,2.64,-1.17,-0.52,1.73
2024-12-12,688638,43.86,43.96,44.21,43.4,2661,8309454.0,1.85,0.23,0.1,1.54
2024-12-13,688638,43.82,42.99,44.16,42.91,2520,7766650.0,2.84,-2.21,-0.97,1.46
2024-12-16,688638,42.77,43.01,43.54,42.77,2765,8518194.0,1.79,0.05,0.02,1.6
2024-12-17,688638,43.54,40.92,43.54,40.77,2970,8787247.0,6.44,-4.86,-2.09,1.72
2024-12-18,688638,41.37,40.75,41.37,40.05,1843,5341536.0,3.23,-0.42,-0.17,1.07
2024-12-19,688638,40.75,40.71,41.01,40.15,2314,6673763.0,2.11,-0.1,-0.04,1.34
2024-12-20,688638,40.5,41.26,41.97,40.5,1933,5674915.0,3.61,1.35,0.55,1.12
2024-12-23,688638,41.38,39.75,41.38,39.34,2943,8377945.0,4.94,-3.66,-1.51,1.71
2024-12-24,688638,39.84,39.82,40.22,38.68,5173,14574869.0,3.87,0.18,0.07,2.34
2024-12-25,688638,39.79,39.31,39.87,38.39,3968,11008031.0,3.72,-1.28,-0.51,1.8
2024-12-26,688638,39.31,40.04,40.57,38.96,2448,6992328.0,4.1,1.86,0.73,1.11
2024-12-27,688638,39.69,40.73,41.03,39.69,2958,8566977.0,3.35,1.72,0.69,1.34
2024-12-30,688638,41.19,40.19,41.19,39.75,1926,5543163.0,3.54,-1.33,-0.54,0.87
2024-12-31,688638,39.97,39.34,40.45,39.34,1759,4967584.0,2.76,-2.11,-0.85,0.8
2025-01-02,688638,39.34,38.64,40.31,38.6,1476,4144256.0,4.35,-1.78,-0.7,0.67
2025-01-03,688638,38.64,37.51,39.02,37.45,1319,3583028.0,4.06,-2.92,-1.13,0.6
2025-01-06,688638,37.51,37.44,37.8,36.93,900,2396716.0,2.32,-0.19,-0.07,0.41
2025-01-07,688638,37.03,38.53,38.77,37.03,792,2154290.0,4.65,2.91,1.09,0.36
2025-01-08,688638,38.26,38.39,38.85,37.27,1417,3837574.0,4.1,-0.36,-0.14,0.64
2025-01-09,688638,37.98,38.08,38.65,37.81,871,2373250.0,2.19,-0.81,-0.31,0.39
2025-01-10,688638,39.26,37.25,39.26,37.25,1548,4197296.0,5.28,-2.18,-0.83,0.7
2025-01-13,688638,37.24,37.16,38.07,36.26,1026,2704080.0,4.86,-0.24,-0.09,0.4
2025-01-14,688638,37.81,39.0,39.07,37.53,1616,4447767.0,4.14,4.95,1.84,0.63
2025-01-15,688638,39.42,39.13,39.42,38.4,896,2482434.0,2.62,0.33,0.13,0.35
2025-01-16,688638,39.19,38.85,39.58,38.49,1357,3764536.0,2.79,-0.72,-0.28,0.53
2025-01-17,688638,38.85,38.72,39.33,38.54,706,1951834.0,2.03,-0.33,-0.13,0.27
2025-01-20,688638,39.3,39.28,39.34,38.72,1030,2867835.0,1.6,1.45,0.56,0.4
2025-01-21,688638,39.41,39.34,39.61,38.89,1222,3405353.0,1.83,0.15,0.06,0.47
2025-01-22,688638,39.59,38.42,39.59,38.36,972,2682912.0,3.13,-2.34,-0.92,0.38
2025-01-23,688638,38.65,39.03,39.83,38.5,2019,5653871.0,3.46,1.59,0.61,0.78
2025-01-24,688638,39.06,39.26,39.28,38.68,1076,2987937.0,1.54,0.59,0.23,0.42
2025-01-27,688638,38.92,38.65,39.9,38.64,1949,5433864.0,3.21,-1.55,-0.61,0.76
2025-02-05,688638,39.2,39.72,40.12,38.65,1648,4643703.0,3.8,2.77,1.07,0.64
2025-02-06,688638,40.04,41.44,41.44,39.68,3340,9680757.0,4.43,4.33,1.72,1.3
2025-02-07,688638,41.44,41.86,44.23,41.41,7215,22168416.0,6.81,1.01,0.42,2.8
2025-02-10,688638,42.14,42.42,43.19,41.89,3540,10655826.0,3.11,1.34,0.56,1.37
2025-02-11,688638,42.41,42.0,42.77,41.8,3485,10472922.0,2.29,-0.99,-0.42,1.35
2025-02-12,688638,42.06,42.17,42.35,41.66,1553,4654981.0,1.64,0.4,0.17,0.6
2025-02-13,688638,42.28,41.34,42.28,41.23,1803,5340447.0,2.49,-1.97,-0.83,0.7
2025-02-14,688638,41.34,41.87,42.04,41.2,1935,5723505.0,2.03,1.28,0.53,0.75
2025-02-17,688638,41.93,42.34,42.49,41.44,2277,6818340.0,2.51,1.12,0.47,0.88
2025-02-18,688638,42.49,42.36,43.26,41.86,4659,14195489.0,3.31,0.05,0.02,1.81
2025-02-19,688638,42.18,42.94,43.11,42.01,2579,7846127.0,2.6,1.37,0.58,1.0
2025-02-20,688638,42.9,42.73,43.11,42.5,1991,6057994.0,1.42,-0.49,-0.21,0.77
2025-02-21,688638,42.52,43.13,43.22,41.89,2798,8545261.0,3.11,0.94,0.4,1.08
2025-02-24,688638,43.05,43.74,43.74,42.42,4135,12761194.0,3.06,1.41,0.61,1.6
2025-02-25,688638,42.88,43.72,44.06,42.84,3495,10878629.0,2.79,-0.05,-0.02,1.36
2025-02-26,688638,43.3,44.42,44.8,43.26,5436,17121574.0,3.52,1.6,0.7,2.11
2025-02-27,688638,44.42,43.76,44.91,43.25,4334,13555874.0,3.74,-1.49,-0.66,1.68
2025-02-28,688638,43.2,42.84,43.79,42.21,5165,15699113.0,3.61,-2.1,-0.92,2.0
2025-03-03,688638,43.96,44.63,45.16,42.95,11648,36768664.0,5.16,4.18,1.79,4.52
2025-03-04,688638,44.66,44.76,44.93,43.09,8497,26551173.0,4.12,0.29,0.13,3.29
2025-03-05,688638,44.27,43.57,44.77,43.46,4142,12950449.0,2.93,-2.66,-1.19,1.61
2025-03-06,688638,43.61,47.04,47.04,43.61,14228,46544848.0,7.87,7.96,3.47,5.52
2025-03-07,688638,46.97,45.5,47.71,44.94,9841,32234874.0,5.89,-3.27,-1.54,3.82
2025-03-10,688638,45.5,44.87,45.61,44.28,5496,17519658.0,2.92,-1.38,-0.63,2.13
2025-03-11,688638,44.52,45.0,45.84,44.1,3593,11480627.0,3.88,0.29,0.13,1.39
2025-03-12,688638,44.94,44.48,45.6,44.39,3379,10806735.0,2.69,-1.16,-0.52,1.31
2025-03-13,688638,44.46,44.1,45.22,43.74,3822,12028451.0,3.33,-0.85,-0.38,1.48
2025-03-14,688638,43.75,44.87,44.91,43.75,4243,13437999.0,2.63,1.75,0.77,1.65
2025-03-17,688638,45.32,44.58,45.36,44.28,2170,6921347.0,2.41,-0.65,-0.29,0.84
2025-03-18,688638,44.93,44.76,45.56,44.58,1715,5491235.0,2.2,0.4,0.18,0.66
2025-03-19,688638,45.28,44.83,45.35,44.45,2359,7536609.0,2.01,0.16,0.07,0.91
2025-03-20,688638,44.77,44.32,44.88,43.89,2220,7020094.0,2.21,-1.14,-0.51,0.86
2025-03-21,688638,44.32,43.53,44.84,42.85,4739,14688422.0,4.49,-1.78,-0.79,1.84
2025-03-24,688638,42.91,42.29,43.41,41.54,3146,9487409.0,4.3,-2.85,-1.24,1.22
2025-03-25,688638,42.48,42.25,42.63,41.85,2104,6320007.0,1.84,-0.09,-0.04,0.82
2025-03-26,688638,42.39,42.76,43.19,42.25,1916,5850259.0,2.22,1.21,0.51,0.74
2025-03-27,688638,42.73,42.03,42.92,41.79,1708,5140626.0,2.64,-1.71,-0.73,0.66
2025-03-28,688638,42.43,41.47,42.43,41.31,2449,7272013.0,2.66,-1.33,-0.56,0.95
2025-03-31,688638,41.54,41.64,43.08,40.57,2648,7781133.0,6.05,0.41,0.17,1.03
2025-04-01,688638,42.06,42.42,42.57,41.89,1552,4672717.0,1.63,1.87,0.78,0.6
2025-04-02,688638,43.37,42.18,43.37,41.85,1598,4807197.0,3.58,-0.57,-0.24,0.62
2025-04-03,688638,41.86,41.62,42.55,41.3,1160,3445235.0,2.96,-1.33,-0.56,0.45
2025-04-07,688638,40.11,36.11,40.11,35.84,3550,9559913.0,10.26,-13.24,-5.51,1.38
2025-04-08,688638,36.41,36.86,38.21,36.41,2048,5392217.0,4.98,2.08,0.75,0.79
2025-04-09,688638,37.55,37.94,37.94,34.72,2347,6117643.0,8.74,2.93,1.08,0.91
2025-04-10,688638,38.32,39.31,39.76,38.32,2030,5693468.0,3.8,3.61,1.37,0.79
2025-04-11,688638,39.73,39.79,40.63,39.0,1742,4955838.0,4.15,1.22,0.48,0.68
2025-04-14,688638,40.46,39.7,40.46,39.06,1458,4155999.0,3.52,-0.23,-0.09,0.57
2025-04-15,688638,40.11,40.05,40.26,39.47,1328,3775614.0,1.99,0.88,0.35,0.51
2025-04-16,688638,40.11,39.54,40.35,38.78,1692,4759469.0,3.92,-1.27,-0.51,0.66
2025-04-17,688638,39.52,39.75,40.39,39.21,1814,5155983.0,2.98,0.53,0.21,0.7
2025-04-18,688638,39.79,39.69,40.19,38.93,1722,4835436.0,3.17,-0.15,-0.06,0.67
2025-04-21,688638,39.7,39.97,40.39,39.38,1125,3187589.0,2.54,0.71,0.28,0.44
2025-04-22,688638,40.03,39.83,40.17,39.65,1599,4539891.0,1.3,-0.35,-0.14,0.62
2025-04-23,688638,39.96,40.84,41.15,39.62,1735,5026937.0,3.84,2.54,1.01,0.67
2025-04-24,688638,40.45,40.12,40.57,39.75,1157,3302587.0,2.01,-1.76,-0.72,0.45
2025-04-25,688638,40.18,39.9,40.74,39.8,1264,3607088.0,2.34,-0.55,-0.22,0.49
